subfield_dom,autores,certificados,obras,obras_mediana,cobertura_pct,ci_low,ci_high,cobertura_hasta2023_pct,cobertura_2obras_pct
Earth-Surface Processes,101,11,152,1.0,10.9,6.2,18.5,10.7,
"Health, Toxicology and Mutagenesis",2776,303,5025,1.0,10.9,9.8,12.1,10.8,22.9
Virology,248,27,1194,1.0,10.9,7.6,15.4,12.5,20.5
Oral Surgery,1066,114,2713,1.0,10.7,9.0,12.7,10.7,20.4
History and Philosophy of Science,47,5,86,1.0,10.6,4.6,22.6,3.3,
Safety Research,615,65,796,1.0,10.6,8.4,13.2,9.4,19.7
Economics and Econometrics,10572,1123,25701,1.0,10.6,10.0,11.2,11.8,21.9
Applied Microbiology and Biotechnology,358,38,689,1.0,10.6,7.8,14.2,11.9,19.9
Cardiology and Cardiovascular Medicine,1460,155,3678,1.0,10.6,9.1,12.3,11.8,17.2
Geriatrics and Gerontology,160,17,261,1.0,10.6,6.7,16.4,10.7,22.9
Demography,1738,183,3462,1.0,10.5,9.2,12.1,10.4,17.4
Education,12600,1323,30356,1.0,10.5,10.0,11.0,12.1,18.8
Hepatology,268,28,642,1.0,10.4,7.3,14.7,10.7,10.8
Social Psychology,3840,397,9276,1.0,10.3,9.4,11.3,11.3,27.3
Neurology,1138,116,3208,1.0,10.2,8.6,12.1,9.3,13.6
Communication,1605,163,3602,1.0,10.2,8.8,11.7,11.8,19.3
Numerical Analysis,40,4,88,1.0,10.0,4.0,23.1,,
Development,674,67,1129,1.0,9.9,7.9,12.4,10.2,16.1
"General Economics, Econometrics and Finance",324,32,761,1.0,9.9,7.1,13.6,8.5,18.4
Human-Computer Interaction,332,33,789,1.0,9.9,7.2,13.6,8.4,13.9
Obstetrics and Gynecology,678,67,1204,1.0,9.9,7.9,12.4,11.0,16.4
Soil Science,615,60,947,1.0,9.8,7.7,12.4,9.7,28.8
Pulmonary and Respiratory Medicine,1710,165,4186,1.0,9.6,8.3,11.1,11.4,19.2
Speech and Hearing,250,24,386,1.0,9.6,6.5,13.9,9.3,20.0
"Geography, Planning and Development",240,23,332,1.0,9.6,6.5,14.0,7.4,18.8
Neuropsychology and Physiological Psychology,151,14,186,1.0,9.3,5.6,15.0,12.9,
"Pediatrics, Perinatology and Child Health",774,72,1443,1.0,9.3,7.5,11.6,7.8,16.6
Dermatology,359,33,669,1.0,9.2,6.6,12.6,8.6,13.8
Inorganic Chemistry,98,9,117,1.0,9.2,4.9,16.5,7.5,
Strategy and Management,1151,106,2552,1.0,9.2,7.7,11.0,9.7,27.1
Literature and Literary Theory,984,90,2204,1.0,9.1,7.5,11.1,8.2,18.9
Orthopedics and Sports Medicine,198,18,270,1.0,9.1,5.8,13.9,11.0,
Cell Biology,248,22,561,1.0,8.9,5.9,13.1,8.6,12.7
Religious studies,79,7,124,1.0,8.9,4.4,17.2,9.2,
Spectroscopy,34,3,60,1.0,8.8,3.0,23.0,,
Sociology and Political Science,4299,375,7218,1.0,8.7,7.9,9.6,8.2,23.2
Cultural Studies,1670,143,3254,1.0,8.6,7.3,10.0,8.2,13.6
Anthropology,536,46,1187,1.0,8.6,6.5,11.3,10.1,15.5
Otorhinolaryngology,82,7,120,1.0,8.5,4.2,16.6,2.6,
Surgery,2950,250,5537,1.0,8.5,7.5,9.5,8.3,17.4
Accounting,2315,196,4598,1.0,8.5,7.4,9.7,9.9,16.3
Gastroenterology,199,17,368,1.0,8.5,5.4,13.3,7.8,13.5
Language and Linguistics,635,54,1293,1.0,8.5,6.6,10.9,7.8,18.2
History,358,30,550,1.0,8.4,5.9,11.7,5.2,18.3
Condensed Matter Physics,36,3,73,1.0,8.3,2.9,21.8,,
Industrial and Manufacturing Engineering,923,74,1413,1.0,8.0,6.4,9.9,9.4,25.3
Information Systems and Management,452,36,623,1.0,8.0,5.8,10.8,5.8,12.3
Transportation,174,14,244,1.0,8.0,4.9,13.1,6.6,
Gender Studies,611,48,934,1.0,7.9,6.0,10.3,7.1,17.0
Conservation,183,14,288,1.0,7.7,4.6,12.4,8.0,13.7
Urology,249,19,367,1.0,7.6,4.9,11.6,7.8,
Fluid Flow and Transfer Processes,40,3,67,1.0,7.5,2.6,19.9,,
Hematology,536,40,918,1.0,7.5,5.5,10.0,7.1,12.5
"Management, Monitoring, Policy and Law",1382,102,2074,1.0,7.4,6.1,8.9,7.6,18.1
Emergency Medical Services,408,30,673,1.0,7.4,5.2,10.3,7.5,11.3
Political Science and International Relations,3068,228,5190,1.0,7.4,6.6,8.4,8.2,17.4
Ophthalmology,260,19,511,1.0,7.3,4.7,11.1,8.3,15.3
Visual Arts and Performing Arts,738,53,1198,1.0,7.2,5.5,9.3,6.8,22.5
Transplantation,42,3,52,1.0,7.1,2.5,19.0,3.3,
Medical Laboratory Technology,187,13,234,1.0,7.0,4.1,11.5,8.0,11.4
Rehabilitation,174,12,272,1.0,6.9,4.0,11.7,6.3,23.3
Management Information Systems,1960,136,3674,1.0,6.9,5.9,8.2,6.8,26.3
Urban Studies,783,53,1204,1.0,6.8,5.2,8.7,6.7,21.1
"Safety, Risk, Reliability and Quality",120,8,141,1.0,6.7,3.4,12.6,2.9,
Signal Processing,121,8,134,1.0,6.6,3.4,12.5,1.3,
General Social Sciences,856,56,1350,1.0,6.5,5.1,8.4,6.9,11.0
Philosophy,573,37,900,1.0,6.5,4.7,8.8,6.0,15.8
